,duration,speaker,speaker_type,start_time,text,topic
0,50,APPLAUSE,audience,587,[applause],intro
1,50,APPLAUSE,audience,645,[applause],intro
2,50,APPLAUSE,audience,729,[applause],intro
3,50,APPLAUSE,audience,1299,[applause],intro
4,3088,COOPER,moderator,0,"COOPER: And welcome to The Whiting Auditorium on the campus of the Flint Cultural Center in Flint, Michigan for a special CNN democratic presidential debate. I'm Anderson Cooper. I want to welcome our viewers in the United States and around the world. Tonight's debate will be seen on CNN, CNN International, CNN en Espanol, by American soldiers, sailors, and airmen on the American Forces Network, and nationwide on the Westwood One Radio Network. And now we want to welcome the Democratic candidates for president of the United States, please welcome Senator Bernie Sanders of Vermont. Please welcome former Secretary of State Hillary Clinton. Ladies and gentlemen, the Democratic candidates for president of the United States! Before we begin tonight, we want to take a moment to remember former first lady Nancy Reagan. As probably know she passed away this morning at the age of 94. Her grace and elegance in the White House, her deep love for President Reagan, and her strength and advocacy in the fight against Alzheimer's and drug abuse will always be remembered. We would like to pause of a moment of silence in honor of Mrs. Reagan. And now will you please rise for our national anthem performed by the Flint City Wide Choir, conducted by Darnell Ishmel. [The National Anthem is performed] COOPER: Our thanks to the Flint City Wide Choir. Candidates take your positions behind the podium. Before we begin as the candidates take their positions, I just want to set out some ground rules as moderators, I'll ask questions, I'll ask follow- ups and guide the discussion. The candidates will have one minute and 15 seconds to answer questions. They'll have 30 seconds for follow- ups. CNN's Don Lemon will join me in the questioning, as will members of our audience here tonight. The members of our audience are Democrats and independents from Flint and elsewhere in Michigan. We've reviewed their questions just so they don't overlap. Now we've come to Flint because this is a city in crisis, a city where, as you probably know, the tap water is toxic. Public servants, public institutions not only failed to prevent the crisis, their decisions created this crisis. The state of Michigan, in an effort to save money, switched Flint's water source to a cheaper, but riskier alternative, the Flint River. Safeguards were ignored. That river water corroded residential pipes, and for nearly two years, lead leaked into the water used in people's homes. Now, for much of that time, the state downplayed the danger, even in the face of growing complaints and physical evidence. For 100 days, the federal government knew about it, and yet in all that time nobody told the people of Flint. They bathed in the water, they drank it, and so did their kids. Even today, lead is still present in some of the water. Tonight the Democratic candidates are here to answer questions about what they would do for Flint, as well as about other issues facing their country right now. Each candidate has one minute for an opening statement, Senator Sanders is first. We begin with him. Senator Sanders?",intro
5,50,APPLAUSE,audience,3736,[applause],intro
6,1306,SANDERS,candidate,3088,"SANDERS: Anderson, thank you very much. Over the last several weeks I had the opportunity to meet with a number of residents of Flint at a town meeting in Flint, and I have to tell you what I heard, and what I saw literally shattered me. And, it was beyond belief that children in Flint, Michigan in the United States of America in the year 2016 are being poisoned. That is clearly not what this country should be about. As Anderson indicated, there's a lot of blame to go around, and one of the points that I have made is that I believe the Governor of this state should understand that his dereliction of duty was irresponsible. He should resign. But more importantly, what is happening in Flint to a lesser degree is happening throughout this country. In recent years we have seen a proliferation of millionaires and billionaires, and increase in income and wealth inequality, and all over this country middle class families are struggling. Cities and towns are struggling, in order to provide basic services. Among many other things, we need to rebuild our crumbling infrastructure, our water systems, our waste water plants, our roads and our bridges. The wealthiest country in the history of the world has got to get its priorities right, take care of the people, no more tax breaks for billionaires.",intro
7,50,APPLAUSE,audience,4422,[applause],intro
8,47,COOPER,moderator,4394,"COOPER: Thank you, Senator.  Secretary Clinton?",intro
9,50,APPLAUSE,audience,4491,[applause],intro
10,50,APPLAUSE,audience,4727,[applause],intro
11,50,APPLAUSE,audience,5149,[applause and cheering],intro
12,50,CHEERING,audience,5149,[applause and cheering],intro
13,50,APPLAUSE,audience,5417,[applause],intro
14,976,CLINTON,candidate,4441,"CLINTON: Well, I'll start by saying amen to that.  We are here in Flint, I'm very grateful that my request that we hold this debate be held here so we can continue to shine a very bright spotlight on what has happened in this city. I agree, the Governor should resign, or be recalled... ... support the efforts of citizens attempting to achieve that. But, that is not enough. We have to focus on what must be done to help the people of Flint. I support a hundred percent the efforts by your senators and members of congress to get the money from the federal government in order to begin the work that must occur to fix the infrastructure. The state should also be sending money immediately to help this city. I know the state of Michigan has a rainy day fund for emergencies, what is more important than the health and wellbeing of the people, particularly children? It is raining lead in Flint, and the state is derelict in not coming forward with the money that is required.",intro
15,26,COOPER,moderator,5417,COOPER: Secretary Clinton?,intro
16,166,CLINTON,candidate,5443,"CLINTON: And, we'll get to what we need to do to help the children and the people when I have a little more time because that's just as important as fixing the pipes.",intro
17,818,COOPER,moderator,5609,"COOPER: We're going to have a lot of time for that. We want to begin tonight with the people of Flint themselves. This is Mikki Wade, she's a public housing program manager, and the mother of two kids. She says she's currently undecided, and has a question that both of you will be able to weigh in on. Ms. Wade? QUESTION: The water has impacted our lives in such a way that living comfortably in our home isn't the same anymore. The constant drives to pick up water just so my children can wash their hair, to wash our fruits and vegetables, and to brush our teeth is incredibly difficult. Once the pipes are replaced, I'm not so sure I would be comfortable ever drinking the water. If elected president, what course will you take to regain my trust in the government? COOPER: Secretary Clinton, we'll begin with you.",Flint water
18,1053,CLINTON,candidate,6427,"CLINTON: Well Nikki, it's a very fair question. Your government at all levels have let you and your children and the people of Flint down. So I think that there are there several things. All the repair work that is being done â€” and Mayor Weaver program that we support to begin to help train people in Flint to be able to do this work to distribute the water. Everything that is done has to be triple checked to regain your trust and to hold those who are responsible for fixing the pipes and delivering the clean water which has you said, you bathe in it and drink it and wash food in it. You do everything with it. Every one of us should have to run through in our minds how we use water every single day to understand the pressures and the real pain that families are going through. So I will make sure as President that I double and triple check. I will work with elected officials who I trust like your mayor and like your senators and member of Congress so that we can assure you that when it's fixed, you can trust it. You deserve nothing less.",Flint water
