,duration,speaker,speaker_type,start_time,text,topic
0,238,KELLY,moderator,0,"KELLY: Good evening, and welcome to the fabulous FOX Theatre in downtown Detroit, the site of the 11th Republican presidential debate of the 2016 campaign. KELLY: I'm Megyn Kelly, along with my co-moderators, Bret Baier and Chris Wallace.",intro
1,408,BAIER,moderator,238,"BAIER: 59 Republican delegates are at stake here in the state of Michigan during next Tuesday's Republican primary, the biggest prize out of four states holding contests that day. For tonight's debate we're partnering with Facebook. The conversation about this election has been intense, as the crowd is here. Since January 1st, 53 million people in the U.S. have been talking about the election on Facebook.",intro
2,50,CHEERING,audience,924,(CHEERING),none
3,50,APPLAUSE,audience,924,(APPLAUSE),none
4,50,CHEERING,audience,949,(CHEERING),none
5,50,APPLAUSE,audience,949,(APPLAUSE),none
6,50,CHEERING,audience,979,(CHEERING),none
7,50,APPLAUSE,audience,979,(APPLAUSE),none
8,50,CHEERING,audience,1012,(CHEERING),none
9,50,APPLAUSE,audience,1012,(APPLAUSE),none
10,366,WALLACE,moderator,646,"WALLACE: Tonight there are just four candidates on this stage. Their position has been determined by their standing in an average of the five most recent national polls as recognized by FOX News, and conducted and released by March 1st. Here they are. Businessman, Donald Trump. Texas Senator, Ted Cruz. Florida Senator, Marco Rubio. And, Ohio Governor, John Kasich.",intro
11,191,KELLY,moderator,1012,"KELLY: Tonight's rules are simple. Up to 60 seconds for each answer, 30 seconds for each follow-up response, and if a candidate goes over the allotted time, you will hear this. (BELL RINGING)",intro
12,19,BAIER,moderator,1203,BAIER: So pleasant.,intro
13,14,KELLY,moderator,1222,KELLY: Really.,intro
14,50,CHEERING,audience,1348,(CHEERING),none
15,50,APPLAUSE,audience,1348,(APPLAUSE),none
16,50,LAUGHTER,audience,1533,(LAUGHTER),none
17,50,CHEERING,audience,1533,(CHEERING),none
18,347,BAIER,moderator,1236,"BAIER: We have a big crowd here, and while we expect the audience to be enthusiastic and responsive at timesâ€_  BAIER: â€_ they may have already been â€” we also expect them to be respectful, and we want the candidates to get their full time. So, somewhere between a library and a Red Wings game. BAIER: Am I right? Is that OK? Let's get started.",intro
19,50,CHEERING,audience,2022,(CHEERING),none
20,532,WALLACE,moderator,1583,"WALLACE: Mr. Trump, as you may have heard, the 2012 Republican nominee for President, Mitt Romney, had some things to say about you today. He said your domestic policy will lead to recession, he's said your foreign policy will make us less safe, and then he listed what he said are your personal qualities. Quoting now Romney on Trump, quote, â€œthe bullying, the greed, the showing off, the misogyny, the absurd, third-grade theatricsâ€ù. He challenged you to answer with substance, not insults. How do you answer Mitt Romney, sir?",Romney
21,50,CHEERING,audience,3395,(CHEERING),none
22,1280,TRUMP,candidate,2115,"TRUMP: Well look, he was a failed candidate, he should have beaten president Obama very easy. He failed miserably, and it was an embarrassment to everybody, including the Republican party. It looked like he went away on a vacation the last month. So, I don't take that, and I guess, obviously, he wants to be relevant. He wants to be back in the game. As far as domestic policy and trade which is killing our country, he said free trade and I believe in free trade also. But, if you look at China, and you look Japan, and if you look at Mexico, both at the border, by the way, where they're killing us. Both at the border, and with trade â€” and every other country we do business with we are getting absolutely crushed on trade. And, he said free trade, I say free trade great. But, not when they're beating us so badly. With China we're going to lose $505 billion dollars in terms of trades. You just can't do it. Mexico, $58 billion dollars. Japan, probably about, they don't know it yet, but about $109 billion dollars. Every country we lose money with. As far as I'm concerned, we've got to reduce â€” we have to redo our trade deals 100 percent. I have the greatest business people in the world lined up to do it. We will makeâ€_ (BELL RINGING) TRUMP: â€_ great trade deals.",trade deficit
23,288,WALLACE,moderator,3395,"WALLACE: Mr. Trump, Romney also talked about your position on race, and the controversy over your failure to denounce David Duke on Sunday. You have repeatedly disavowed him since then, but I'd like to go deeper than that. What are your views on the Klu Klux Klan, and white supremacists?",Klu Klux Klan
24,751,TRUMP,candidate,3683,"TRUMP: I totally disavow the Klu Klux Klan. I totally disavow David Duke. I've been doing it now for two weeks, this is your â€” you're probably about the 18th person that's asked me the question. It was very clear, that question was also talked about in the form of groups. Groups, I want to know which groups are you talking about? You have to tell me which groups? Ultimately, he got to the Klu Klux Klan, which obviously I'm going to disavow. And, by the way, if you look on my Twitter account, almost immediately after the program they were disavowed again. You know, it's amazing. When I do something on Twitter, everybody picks it up, goes all over the place. But, when I did this one nobody ever picks it up. Take a look at my Twitter account.",Klu Klux Klan
25,24,WALLACE,moderator,4434,"WALLACE: Thank you, sir.",none
26,50,APPLAUSE,audience,4483,(APPLAUSE),none
27,25,TRUMP,candidate,4458,TRUMP: Thank you. Thanks.,none
