,duration,speaker,speaker_type,start_time,text,topic
0,50,APPLAUSE,audience,575,[applause],
1,50,APPLAUSE,audience,691,[applause],
2,50,APPLAUSE,audience,729,[applause],
3,50,APPLAUSE,audience,756,[applause],
4,50,APPLAUSE,audience,793,[applause],
5,50,APPLAUSE,audience,827,[applause],
6,2737,DICKERSON,moderator,0,"DICKERSON: Good evening. I'm John Dickerson. This holiday weekend, as America honors our first president, we're about to hear from six men who hope to be the 45th. The candidates for the Republican nomination are here in South Carolina for their ninth debate, one week before this state holds the first-in-the-South primary. George Washington wrote that the truth will ultimately prevail where there is pains taken to bring it to light. We hope to shed some light on the candidates' positions tonight to help voters make up their minds. So gentlemen, please join us on stage. With us tonight ‰ÛÓ with us tonight are retired neurosurgeon Ben Carson of Florida, Senator Marco Rubio of Florida. Businessman Donald Trump of New York. Senator Ted Cruz of Texas. Former Governor Jeb Bush of Florida. And Governor John Kasich of Ohio. Now, as most of you have heard by now, Supreme Court Justice Antonin Scalia died today at the age of 79. He was the longest-serving member of the court, appointed by President Reagan in 1986. Justice Scalia was the court's leading conservative, and even those who disagreed with his opinions regarded him as a brilliant legal scholar. Please join us and the candidates on our stage in a moment of silence for Justice Antonin Scalia. Thank you. We will talk to the candidates about Justice Scalia and the road ahead when the debate begins in a moment. [commercial break] DICKERSON: Before we get started, candidates, here are the rules. When we ask you a question, you will have one minute to answer, and 30 seconds more if we ask a follow-up. If you're attacked by another candidate, you get 30 seconds to respond. And here's how we keep time. After we ask a question, you'll get a green light. The yellow light means you have 30 seconds left to finish your answer, and when time is up, the light turns red. That means please stop talking. If you keep talking, you'll hear this. [bell rings] You don't want to hear that. Joining me in the questioning tonight, my CBS News colleague, chief White House correspondent Major Garrett, and Kimberley Strassel, who is on the editorial board of The Wall Street Journal. And you can participate in the debate through our partnership with Twitter. Tweet us your questions and comments using the hashtag ""#GOPDebate."" So, let's begin. First, the death of Justice Scalia, and the vacancy that leaves on the Supreme Court. Mr. Trump, I want to start with you. You've said that the president shouldn't nominate anyone in the rest of his term to replace Justice Scalia. If you were president and had a chance, with 11 months left to go in your term, wouldn't it be an abdication, to conservatives in particular, not to name a conservative justice with the rest of your term?",supreme courth nominee
7,546,TRUMP,candidate,2737,"TRUMP: Well, I can say this. If the president, and if I were president now, I would certainly want to try and nominate a justice. I'm sure that, frankly, I'm absolutely sure that President Obama will try and do it. I hope that our Senate is going to be able ‰ÛÓ Mitch, and the entire group, is going to be able to do something about it. In times of delay, we could have a Diane Sykes, or you could have a Bill Pryor ‰ÛÓ we have some fantastic people. But this is a tremendous blow to conservatism. It's a tremendous blow, frankly, to our country.",supreme courth nominee
8,106,DICKERSON,moderator,3283,"DICKERSON: So, just to be clear on this, Mr. Trump, you're O.K. with the president nominating somebody ...",supreme courth nominee
9,50,APPLAUSE,audience,3563,[applause],
10,174,TRUMP,candidate,3389,"TRUMP: ... I think he's going to do it whether or I'm O.K. with it or not. I think it's up to Mitch McConnell and everybody else to stop it. It's called delay, delay, delay. ",supreme courth nominee
