id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
27,Scott Walker,1,yes,1,Negative,1,Abortion,1,,mch7576,,19,,,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badgerâ€_,,8/7/15 9:54,6.29697E+17,USA ,
59,No candidate mentioned,1,yes,1,Negative,0.6667,Abortion,1,,debby_lowery,,230,,,"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 
#GOPDebate 
http://t.co/RbL1t4iPx6",,8/7/15 9:54,6.29697E+17,NW Florida,Central Time (US & Canada)
78,No candidate mentioned,0.3819,yes,0.618,Negative,0.618,Abortion,0.3819,,DanielBeerthuis,,804,,,RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN,,8/7/15 9:54,6.29697E+17,"Holland, Michigan USA ",Eastern Time (US & Canada)
87,No candidate mentioned,1,yes,1,Negative,0.6889,Abortion,0.6889,,JoshDorner,,0,,,"Theyâ€™re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXPfKtHQn",,8/7/15 9:54,6.29697E+17,The District. ,Quito
128,No candidate mentioned,0.461,yes,0.679,Positive,0.3432,Abortion,0.461,,outlawjoZ,,0,,,You're right Last I heard @SenSanders was that only women could give birth to s child. Has that changed? #GOPDebate  https://t.co/5HkCefp1hf,,8/7/15 9:53,6.29697E+17,EveryWhere,Eastern Time (US & Canada)
135,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,jcmarder,,0,,,"You can't be pro-life AND have watched that 2 hour abortion last night.
#GOPDebate #forkedtongue #IseeOrangePeople",,8/7/15 9:53,6.29697E+17,"San Marino, California",Pacific Time (US & Canada)
138,Marco Rubio,0.4233,yes,0.6506,Positive,0.3373,Abortion,0.4233,,JoWesterhof,,350,,,RT @TeamMarco: Marco nailed it on abortion. We must protect life. #GOPDebate http://t.co/Nn6S7dO22J,,8/7/15 9:53,6.29697E+17,,
181,No candidate mentioned,1,yes,1,Negative,0.6629,Abortion,1,,SableViews,,7,,,"RT @BenJamminWalker: Under no circumstances should 10 men dictate abortion rights to women. It's the 21st Century, we are better than that.â€_",,8/7/15 9:53,6.29697E+17,"rural Wisconsin, USA",Central Time (US & Canada)
193,No candidate mentioned,1,yes,1,Neutral,0.6937,Abortion,0.6937,,dalenleavy,,234,,,RT @blowticious: Pro-life Republicans be like #GOPDebate http://t.co/bIOXOpLEjn,,8/7/15 9:53,6.29697E+17,Florida âœˆ ï¸èNew York,Eastern Time (US & Canada)
212,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,eobrien2013,,1773,,,"RT @feministabulous: There's nothing like listening to ten dudes who will never need an abortion, talk about whether I should have a right â€_",,8/7/15 9:53,6.29697E+17,,Eastern Time (US & Canada)
229,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,Deb_Libby,,8,,,"RT @GrnEyedMandy: Women who shame other women for having abortions deserve to be shamed for having no soul or self respect. 
#PlannedParenâ€_",,8/7/15 9:53,6.29697E+17,East coast,Eastern Time (US & Canada)
271,Donald Trump,1,yes,1,Negative,1,Abortion,1,,Clever_Otter,,0,,,Trump changed his mind on supporting PARTIAL BIRTH ABORTION because a friend changed their mind on aborting &amp; had a great kid. #GOPDebate,,8/7/15 9:52,6.29697E+17,Earth,Mountain Time (US & Canada)
277,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,willowalmighty,,608,,,RT @amaraconda: FETUSES ARE NOT UNBORN BABIES THEY ARE CLUSTERS OF CELLS STOP SHAMING PEOPLE WHO WANT/HAVE HAD ABORTIONS #GOPDebate,,8/7/15 9:52,6.29697E+17,,Atlantic Time (Canada)
301,Scott Walker,1,yes,1,Negative,1,Abortion,1,,Mike_EH_52,,19,,,RT @ChrisJZullo: Scott Walker chooses killing mother rather than aborting unborn embryo. This is reason other countries give us that funny â€_,,8/7/15 9:52,6.29697E+17,"HALIFAX,NS",Atlantic Time (Canada)
302,No candidate mentioned,1,yes,1,Negative,0.6425,Abortion,1,,ShawDeuce,,0,,,Can't #UniteBlue: Abortion is a talking point in the #GOPDebate since #PPSellsBabyParts,,8/7/15 9:52,6.29697E+17,"AnyWhere I WannaBe, USA!!",Eastern Time (US & Canada)
335,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.6596,,slone,,32,,,RT @toddstarnes: That abortion question â€” disgusting. #GOPDebate,,8/7/15 9:52,6.29697E+17,â™¥ Right where God wants me â™¥,Eastern Time (US & Canada)
349,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,stedanchick,,117,,,"RT @MikeDrucker: ""Ronald Reagan never had an abortion with ISIS and WOMEN DON'T NEED THEM EITHER!"" - Basically everyone tonight #GOPDebate",,8/7/15 9:52,6.29697E+17,UK,
377,No candidate mentioned,0.4553,yes,0.6748,Negative,0.6748,Abortion,0.4553,,Nathnjackson,,376,,,RT @CrissGhoul: YOU ARE NOT PRO LIFE. YOU ARE PRO CONTROL. YOU ARE PRO RELIGION. YOU ARE PRO YOU.  THIS IS NEVER ABOUT THE MOTHER. #GOPDebaâ€_,,8/7/15 9:51,6.29696E+17,"Seattle, WA",Pacific Time (US & Canada)
406,Chris Christie,1,yes,1,Negative,1,Abortion,1,,joehudsonsmall,,0,,,what is Chris Cristie on about Re: abortions? This is absurd. #GOPdebate,,8/7/15 9:51,6.29696E+17,"Worcester/Manchester, UK",London
428,No candidate mentioned,1,yes,1,Positive,0.6725,Abortion,1,,VeraTMD,,15,,,RT @chooseliferacer: #GOPDebate Never lose focus on the truly important issues #DefundPP &amp; #PraytoEndAbortion http://t.co/OxIoW3YjS4,,8/7/15 9:51,6.29696E+17,,Central Time (US & Canada)
470,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,KompAREN_,,284,,,RT @catie__warren: As a reminder. Less than 3 percent of what #PlannedParenthood does deals with abortions. But this debate won't tell you â€_,,8/7/15 9:51,6.29696E+17,"Los Angeles,California",Pacific Time (US & Canada)
488,No candidate mentioned,1,yes,1,Negative,0.6703,Abortion,1,,kieranfb,,1,,,"RT @joehudsonsmall: ""Would you really let a mother die, rather than have an abortion?""
Was seriously being asked of a presidential hopefulâ€_",,8/7/15 9:50,6.29696E+17,"Newcastle Upon-Tyne, UK",Europe/London
500,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,_faaaaded_,,508,,,RT @amaraconda: I SWEAR TO GOD IF ANOTHER CIS WHITE MAN SPEAKS ON ABORTION LIKE THEY KNOW WHAT ITS LIKE BEING PREGNANT......... #GOPDebate,,8/7/15 9:50,6.29696E+17,// Georgia //,Eastern Time (US & Canada)
551,Chris Christie,1,yes,1,Neutral,0.3613,Abortion,1,,StevenErtelt,,1,,,Chris Christie: Pro-Life Republicans Should Never Apologize for Being Pro-Life http://t.co/AIaRtbsMtX #GOPDebate http://t.co/pSfvOYI46j,,8/7/15 9:50,6.29696E+17,USA,Mountain Time (US & Canada)
562,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.6813,,GabbyAubuchon,,414,,,"RT @LaurenGreenberg: So... it's okay to kill people if you're in the military, but it's not okay to get an abortion if you're a rape victimâ€_",,8/7/15 9:50,6.29696E+17,,
564,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,manton_jeanne,,0,,,"So, it's official; the GOP 2016 Platform is less abortion, more war. That's it. That's what they are after. #GOPDebate #Priorities",,8/7/15 9:50,6.29696E+17,,
570,Scott Walker,0.4395,yes,0.6629,Negative,0.3371,Abortion,0.4395,,DivaMomVicki,,172,,,RT @LilaGraceRose: .@megynkelly Abortion is never medically necessary. Why are you touting @PPact talking points in question to @ScottWalkeâ€_,,8/7/15 9:50,6.29696E+17,"Southwest, USA",Pacific Time (US & Canada)
572,No candidate mentioned,1,yes,1,Neutral,0.6691,Abortion,1,,RobertJordan16,,0,,,Abortion is a talking point in the #GOPDebate since #PPSellsBabyParts,,8/7/15 9:50,6.29696E+17,,
603,No candidate mentioned,0.6802,yes,1,Negative,1,Abortion,0.6602,,TCGallardo,,0,,,Here's why it was so frustrating to watch the #GOPDebate as a woman http://t.co/sPe1VvGuy7 via @HuffPostWomen,,8/7/15 9:49,6.29696E+17,Earth,Tijuana
650,Scott Walker,1,yes,1,Negative,0.6853,Abortion,1,,LaraLuis20,,477,,,"RT @PrestonMitchum: Dear Scott Walker:
How are you ""pro-life"" if you would let a woman die rather than receive an abortion? 
#GOPDebate #â€_",,8/7/15 9:49,6.29696E+17,United States,Mountain Time (US & Canada)
682,Marco Rubio,0.4362,yes,0.6604,Positive,0.6604,Abortion,0.2366,,ImwithMarco,,0,,,Amazing! Marco Rubio schools @ChrisCuomo on when life begins: https://t.co/PrKLk6X4Ji #ProLife #GOPDebate #TCOT,,8/7/15 9:49,6.29696E+17,,Pacific Time (US & Canada)
