topic,tweetid,text
benghazi,7.05E+17,"""We will never forget #Benghazi @HillaryClinton https://t.co/lkfUGTaca4 #veterans #honor #courage #commitment #SuperTuesday #VoteTrump """
benghazi,7.05E+17,"""##Benghazi Heroes Endorse Donald Trump https://t.co/v6jUWZdy0m """
benghazi,7.05E+17,""".@hillaryclinton Great shot! Was this before or after the imaginary snipers?  #VinceFoster #Benghazi #Whitewater https://t.co/0WnW2z4GAm """
benghazi,7.05E+17,"""(IBD) Lying About #Benghazi Terrorist Attack  Sole Hillary Accomplishment - https://t.co/ncx9a5LEmk  #PJNET https://t.co/3Z7RV3ydv5 123 """
benghazi,7.05E+17,"""what about the parents of #benghazi victims you lied to? @HillaryClinton @sitflyr """
benghazi,6.63E+17,"""""@jak00seven: If you like how @HillaryClinton handled #Benghazi, then you'll just _é‚ her as Commander-in-Chief  #MakeAmericaGreatAgain"" """
benghazi,7.04E+17,"""Are you saying that Hillary Clinton hides certain things? Never! #Benghazi  https://t.co/dDjrZVxgbp """
benghazi,7.05E+17,"""@HerzikHeather @cvpayne @IAMPCBob @Bat500boy @GOP @NRO @RichLowry #Benghazi hearings are not done yet, report will be interesting """
benghazi,7.05E+17,"""#HillaryClinton would like 4 US to pay no mind 2 her FAILURE @ #BENGHAZI &amp; wants our VOTE in Nov! Send her ass home https://t.co/WSqjCyDCNL """
benghazi,7.05E+17,"""#BENGHAZI BOMBSHELL Found In @HillaryClinton Emails: https://t.co/tF83Bh6WyN #Hillary's Serial Lies &amp; #HIGHCrimesAndTREASONS Keep On Coming! """
benghazi,7.05E+17,"""Cant be Trusted. #emailgate #Benghazi #hillyes #HillaryClinton #Hillary2016 #Hillary #HillNo @HillaryClinton #FBI https://t.co/Og8NIXfxaE """
benghazi,7.05E+17,"""Clinton emails reveal ambassador killed in #Benghazi attack considered leaving Libya in April 2011 https://t.co/xex4j48V96 #tcot """
benghazi,7.05E+17,"""W/respect, Trump is not Hillary. Trump didn't lie to Congress or the faces of the #Benghazi bereaved. She's evil.  https://t.co/Z3MgIgpPrn """
benghazi,7.05E+17,"""@chelywright @HillaryClinton @realDonaldTrump that's true....how can u still support hillary after she allowed the killings in #Benghazi... """
benghazi,7.05E+17,"""(IBD) Lying About #Benghazi Libya Terrorist Attack  Sole Hillary Accomplishment - https://t.co/Y7j8vNApRx  - https://t.co/xquFC987gJ """
benghazi,7.05E+17,"""STILL waiting 4someone to #ChargeHillary 4 #Benghazi ! I STILL remember #WhiteWater &amp; #VincentFoster #EmailScandal https://t.co/yHxsG8cMFR """
benghazi,7.05E+17,"""#Benghazi bombshell in #Clinton emails! https://t.co/VMLTm4KzqU """
benghazi,7.05E+17,"""(IBD) Lying About #Benghazi Terrorist Attack  Sole Hillary Accomplishment - https://t.co/Y7j8vNApRx  #PJNET https://t.co/zjsOUzYv1Z """
benghazi,7.05E+17,"""If you say #AnyoneButTrump you are a idiot.. Hillary Clinton is the devil #Benghazi """
