,hashtag,count,candidate,sentiment
0,trump,1864957,trump,
2,feelthebern,1432801,bern,
4,trump2016,1038620,trump,pos
6,cruzcrew,768079,cruz,pos
8,imwithher,626021,hillary,pos
10,berniesanders,583168,sanders,
12,nevertrump,505390,trump,neg
13,tedcruz,503822,cruz,
15,makeamericagreatagain,377793,trump,
17,hillaryclinton,371051,clinton,
18,hillary,350619,hillary,
19,trumptrain,343801,trump,pos
20,bernie,327248,bern,
22,bernie2016,309761,bern,pos
24,alwaystrump,252946,trump,
25,cruz,237101,cruz,
28,whichhillary,209541,hillary,
30,notmeus,199538,sanders,neg
31,donaldtrump,185650,trump,
33,rubio,159696,rubio,
35,votetrump,155824,trump,pos
36,choosecruz,152729,cruz,pos
37,dumptrump,152387,trump,neg
40,hillary2016,140966,hillary,pos
43,clinton,126638,clinton,
50,wearebernie,90728,bern,
51,sanders,89400,sanders,
53,realdonaldtrump,88165,trump,
54,votetrump2016,85123,trump,pos
58,teamtrump,79148,trump,pos
59,cruz2016,77135,cruz,pos
74,berniestrong,65203,bern,
75,marcorubio,63822,rubio,
86,presidenttrump,54094,trump,
95,bernieorbust,48205,bern,
98,cruztovictory,46739,cruz,pos
106,debatewithbernie,43258,bern,
111,trumpertantrum,40312,trump,
119,jebbush,36726,bush,
121,marcomentum,35250,marco,
124,votetrumpsc,34239,trump,pos
125,caucusforbernie,33917,bern,pos
131,kasich,32220,kasich,
134,hillarysoprogressive,30769,hillary,
140,teammarco,29551,marco,pos
141,marcosmistakes,28894,marco,
146,bencarson,26620,carson,
148,tedcruz2016,25984,cruz,pos
151,jeb,25771,jeb,
158,vettingbernie,24651,bern,
166,rubio2016,22686,rubio,pos
169,nevercruz,22531,cruz,neg
170,chrischristie,22277,christie,
176,christie,21500,christie,
192,millennialsforhillary,20101,hillary,pos
193,onlytrump,19944,trump,
197,votetrumpnh,19482,trump,pos
201,weendorsebernie,18873,bern,
202,scforbernie,18866,bern,pos
204,gotvforbernie,18691,bern,pos
206,caucusforcruz,18652,cruz,pos
217,carson,17564,carson,
219,sanders2016,17474,sanders,pos
220,trump4vets,17422,trump,pos
225,cruzfraud,17014,cruz,neg
228,trumpuniversity,16845,trump,
231,standwithhillary,16411,hillary,pos
241,neverhillary,15439,hillary,neg
242,bush,15418,bush,
243,unitewithcruz,15372,cruz,pos
244,berniecares,15351,bern,
247,twowordtrump,15042,trump,
252,sixwordberniestory,14881,bern,
255,littlemarco,14745,marco,
257,hillaryforprison,14700,hillary,neg
258,hillaryforprison2016,14676,hillary,neg
264,caucusfortrump,14370,trump,pos
271,iftrumpwins,14006,trump,pos
272,billclinton,13962,clinton,
273,vote4hillary,13910,hillary,pos
282,trumpdonald,13018,trump,
286,votebernie,12834,bern,pos
300,flappytrump,12137,trump,
304,flappyhillary,12064,hillary,
308,makeamoviefeelthebern,11991,bern,
310,donaldtrump2016,11940,trump,pos
314,johnkasich,11626,kasich,
329,whichhillarycensored,11073,hillary,
335,votetrumpnv,10857,trump,pos
341,hillaryliesmatter,10721,hillary,
342,stoptrump,10679,trump,neg
347,randpaul,10473,randpaul,
355,marco,10187,marco,
356,carlyfiorina,10159,fiorina,
358,feelingthebern,10105,bern,
363,marchforbernie,10052,bern,pos
378,onlycruz,9667,cruz,
388,berniebros,9257,bern,
391,indicthillary,9204,hillary,
399,neverrubio,9033,rubio,neg
401,bern,8943,bern,
403,huckabee,8884,huckabee,
408,bernieonsnl,8694,bern,
416,trumpdump,8598,trump,neg
417,optrump,8576,trump,
418,thingshillarysupportersthink,8574,hillary,
