has,prefers,count
trump,trump,76341.0
trump,clinton,1059.0
trump,sanders,494.0
trump,cruz,2668.0
trump,rubio,1525.0
clinton,trump,3915.0
clinton,clinton,28954.0
clinton,sanders,3913.0
clinton,cruz,908.0
clinton,rubio,1488.0
sanders,trump,631.0
sanders,clinton,3443.0
sanders,sanders,33805.0
sanders,cruz,162.0
sanders,rubio,115.0
cruz,trump,3767.0
cruz,clinton,656.0
cruz,sanders,426.0
cruz,cruz,24474.0
cruz,rubio,958.0
rubio,trump,3888.0
rubio,clinton,1580.0
rubio,sanders,1194.0
rubio,cruz,1416.0
rubio,rubio,8595.0
