supports_tag,topic,count
Sanders,racial issues,6880
Clinton,racial issues,5323
Trump,jobs and economy,5209
Trump,racial issues,4970
Sanders,jobs and economy,4042
Trump,immigration,3652
Rubio,racial issues,2829
Clinton,women's issues (not abortion though),2789
Trump,women's issues (not abortion though),2748
Sanders,women's issues (not abortion though),2733
Trump,israel,2355
Trump,religion,2180
Sanders,socialism,2000
Trump,veterans,1777
Rubio,jobs and economy,1745
Clinton,jobs and economy,1518
Rubio,israel,1366
Rubio,immigration,1351
Rubio,abortion,1298
Rubio,women's issues (not abortion though),1168
Clinton,abortion,1166
Trump,abortion,1074
Clinton,immigration,1030
Rubio,veterans,1005
Clinton,israel,1004
Cruz,abortion,918
Clinton,gun control,894
Sanders,immigration,826
Sanders,abortion,791
Cruz,racial issues,788
Cruz,jobs and economy,780
Cruz,religion,720
Trump,socialism,706
Trump,gun control,623
Sanders,religion,565
Cruz,immigration,556
Rubio,religion,524
Clinton,veterans,497
Cruz,women's issues (not abortion though),446
Clinton,socialism,432
Rubio,socialism,418
Cruz,israel,412
Clinton,religion,384
Sanders,veterans,367
Rubio,gun control,337
Cruz,gun control,335
Sanders,gun control,326
Sanders,israel,225
Cruz,veterans,207
Cruz,socialism,153
