has,prefers,count
Trump,Trump,1048854.0
Trump,Clinton,10512.0
Trump,Sanders,4190.0
Trump,Cruz,26416.0
Trump,Rubio,10371.0
Clinton,Trump,5922.0
Clinton,Clinton,207515.0
Clinton,Sanders,11939.0
Clinton,Cruz,402.0
Clinton,Rubio,422.0
Sanders,Trump,5110.0
Sanders,Clinton,38960.0
Sanders,Sanders,425048.0
Sanders,Cruz,674.0
Sanders,Rubio,179.0
Cruz,Trump,32055.0
Cruz,Clinton,2000.0
Cruz,Sanders,440.0
Cruz,Cruz,220455.0
Cruz,Rubio,3764.0
Rubio,Trump,4710.0
Rubio,Clinton,312.0
Rubio,Sanders,36.0
Rubio,Cruz,1217.0
Rubio,Rubio,41137.0
